"id","planet","lefty","major","age","hs.gpa","income","gpa"
96,"Saturn",TRUE,"Architectural Technology",22,4,NA,3.84
97,"Jupiter",FALSE,"Visual Arts Illustration Spec",22,3.549,NA,3.35
98,"Mercury",FALSE,"Visual Arts Illustration Spec",45,0,24.6866555839983,0
99,"Jupiter",FALSE,"Music Recording Technology",25,1.823,380.460216719648,1.483
100,"Jupiter",FALSE,"Web Graphic Design",23,3.531,36787.2451770281,2.902
101,"Jupiter",FALSE,"Physical Therapist Assistant",21,4,NA,4
102,"Jupiter",FALSE,"Music Recording Technology",22,2.627,5453.45860097146,2.455
103,"Jupiter",FALSE,"Music Recording Technology",21,3.202,67154.9793193684,3.22
104,"Jupiter",FALSE,"International Studies",21,4,NA,3.893
105,"Jupiter",TRUE,"Advanced Manufacturing",41,2.998,28776.1873054608,3.024
106,"Jupiter",FALSE,"International Studies",34,4,NA,3.187
107,"Jupiter",FALSE,"American Sign Language",56,4,NA,4
108,"Neptune",FALSE,"Metallurgical Engineering",22,4,NA,3.954
109,"Jupiter",FALSE,"General Education",51,4,NA,3.991
110,"Jupiter",TRUE,"International Studies",42,4,NA,3.723
111,"Jupiter",TRUE,"Advanced Manufacturing",38,1.527,NA,3.099
112,"Jupiter",TRUE,"Visual Arts Illustration Spec",47,0,5.64595110759821,0
113,"Jupiter",FALSE,"Atmospheric Sciences",34,1.431,NA,1.725
114,"Jupiter",TRUE,"Comm Health & Leadership",53,3.307,NA,3.363
115,"Jupiter",TRUE,"International Studies",45,4,30098.935846354,3.06
116,"Uranus",FALSE,"Motorcycle & Outdoor Pow Equip",57,4,NA,3.983
117,"Jupiter",TRUE,"International Studies",31,4,NA,3.306
118,"Jupiter",FALSE,"Electronics Engineering Tech",45,4,NA,3.861
119,"Jupiter",TRUE,"International Studies",36,4,NA,3.996
120,"Uranus",TRUE,"Atmospheric Sciences",29,0.825,NA,2.123
121,"Saturn",FALSE,"Philosophy Religious Studies",45,1.871,NA,2.314
122,"Jupiter",TRUE,"Dental Hygiene",31,4,NA,2.982
123,"Jupiter",TRUE,"Visual Arts Illustration Spec",39,4,NA,3.749
124,"Saturn",FALSE,"Music Recording Technology",60,3.616,NA,3.063
125,"Jupiter",TRUE,"International Studies",49,4,NA,4
126,"Saturn",TRUE,"General Studies - Undecided",22,3.231,NA,2.95
127,"Jupiter",FALSE,"Visual Arts Illustration Spec",44,4,NA,3.072
128,"Jupiter",TRUE,"Visual Arts Illustration Spec",38,4,NA,3.553
129,"Saturn",TRUE,"General Engineering",35,0,10.0509350241385,0.037
130,"Jupiter",FALSE,"Welding Fabrication Inspection",42,0,9.30877231133078,0.014
131,"Jupiter",TRUE,"Social Work",56,4,NA,3.453
132,"Jupiter",TRUE,"Music Recording Technology",36,4,NA,3.693
133,"Jupiter",TRUE,"Music Recording Technology",29,0.995,72.308242974845,0.508
134,"Jupiter",FALSE,"Automotive Technician",36,4,NA,3.866
135,"Jupiter",TRUE,"Comm Health & Leadership",36,4,NA,3.464
136,"Jupiter",TRUE,"Atmospheric Sciences",44,4,NA,4
137,"Jupiter",TRUE,"Visual Arts - Photograph Spec",33,4,NA,4
138,"Saturn",TRUE,"Cabinet Making Furniture Const",31,4,NA,3.359
139,"Saturn",TRUE,"English Studies",34,4,NA,3.551
140,"Jupiter",TRUE,"Pre-Health Sciences",41,1.634,488.173362521066,2.015
141,"Jupiter",FALSE,"Dental Hygiene",33,0,2.42165760863297,0.026
142,"Saturn",TRUE,"Visual Arts Illustration Spec",43,3.96,NA,2.965
143,"Jupiter",FALSE,"Surveying Technology",31,4,NA,4
144,"Jupiter",FALSE,"Surgical Technician",32,3.727,NA,3.785
145,"Jupiter",FALSE,"Interior Design",43,4,14006.5404463301,3.296
146,"Saturn",TRUE,"Music Recording Technology",52,1.716,289.49472974346,0.916
147,"Saturn",TRUE,"American Sign Language",40,4,214635.651588997,3.771
148,"Jupiter",TRUE,"Video/Radio Production",39,0,55.1347071809446,0.047
149,"Uranus",FALSE,"Surgical Technician",32,4,NA,3.726
150,"Jupiter",TRUE,"Music Recording Technology",40,0.616,57.5172252710619,0.93
151,"Jupiter",FALSE,"Dental Hygiene",22,4,NA,3.899
152,"Jupiter",TRUE,"Comm Health & Leadership",38,2.623,1261.17505561084,2.243
153,"Jupiter",FALSE,"Visual Arts Illustration Spec",31,1.402,NA,1.356
154,"Jupiter",TRUE,"Advanced Manufacturing",42,4,NA,3.992
155,"Jupiter",TRUE,"International Studies",30,4,23919.2859945563,2.852
156,"Neptune",FALSE,"American Sign Lang/Interpret",60,4,NA,3.743
157,"Jupiter",TRUE,"Sociology",38,3.202,NA,2.825
158,"Saturn",FALSE,"Fitness Technician",36,3.55,18169.0353733927,3.002
159,"Jupiter",FALSE,"Fitness Technician",36,3.444,NA,3.218
160,"Jupiter",FALSE,"Music Recording Technology",30,4,NA,3.997
161,"Jupiter",FALSE,"Music Recording Technology",32,4,NA,3.996
162,"Saturn",TRUE,"Music Recording Technology",32,4,66704.9602026635,3.768
163,"Jupiter",TRUE,"Music Recording Technology",58,4,NA,3.389
164,"Neptune",FALSE,"Master Auto Service Tech",36,4,NA,3.598
165,"Saturn",FALSE,"International Studies",31,0.437,NA,2.003
166,"Jupiter",FALSE,"Occupational Therapy Assistant",50,4,NA,3.796
167,"Uranus",TRUE,"Web Graphic Design",33,2.864,NA,2.904
168,"Jupiter",TRUE,"Music Recording Technology",40,4,NA,4
169,"Jupiter",FALSE,"Surgical Technician",22,4,24823.4192137844,3.683
170,"Jupiter",FALSE,"Visual Arts - Photograph Spec",45,4,NA,4
171,"Jupiter",TRUE,"Advanced Manufacturing",52,3.095,NA,3.026
172,"Uranus",TRUE,"Mathematics",33,1.792,NA,1.732
173,"Jupiter",FALSE,"International Studies",35,4,NA,3.059
174,"Jupiter",FALSE,"Music Recording Technology",30,4,NA,3.886
175,"Jupiter",TRUE,"Music Recording Technology",35,4,NA,3.971
176,"Jupiter",FALSE,"Paralegal Training",31,4,NA,2.834
177,"Neptune",FALSE,"Surgical Technician",31,4,NA,4
178,"Uranus",FALSE,"Interior Design",36,4,NA,3.693
179,"Jupiter",FALSE,"Exercise Sci/Kinesiology",30,4,NA,3.577
180,"Jupiter",TRUE,"Graphic Communications",52,4,NA,3.827
181,"Jupiter",FALSE,"International Studies",45,4,NA,4
182,"Saturn",TRUE,"International Studies",30,4,NA,3.607
183,"Uranus",FALSE,"Psychology",27,0,22.4634887211123,0.04
184,"Jupiter",TRUE,"Comm Health & Leadership",29,4,NA,3.899
185,"Jupiter",FALSE,"Retail Management",31,4,NA,3.411
186,"Saturn",FALSE,"English Studies",39,3.953,NA,3.514
187,"Jupiter",FALSE,"American Sign Language",41,4,NA,3.881
188,"Jupiter",FALSE,"Visual Arts Illustration Spec",43,4,NA,3.839
189,"Jupiter",TRUE,"Atmospheric Sciences",28,0.047,518.36800803122,1.34
190,"Jupiter",TRUE,"Music Recording Technology",37,0,44.4340583384757,0.266
191,"Jupiter",TRUE,"Philosophy Religious Studies",37,4,NA,3.66
192,"Jupiter",FALSE,"Respiratory Therapy",44,4,NA,3.74
193,"Jupiter",FALSE,"International Studies",34,2.049,818.236879971992,2.075
194,"Jupiter",TRUE,"International Studies",30,4,NA,4
195,"Jupiter",TRUE,"Marketing Management",36,4,NA,3.87
196,"Jupiter",FALSE,"Engineering/Electrical",29,0,3.14856259239114,0
197,"Saturn",FALSE,"Engineering/Mechanical",34,2.651,NA,2.016
198,"Jupiter",FALSE,"Engineering/Electrical",32,4,NA,3.993
199,"Jupiter",FALSE,"Music Recording Technology",20,1.702,452.257992386072,2.144
200,"Saturn",FALSE,"Electrical, Independent - Appr",29,4,NA,3.898
201,"Jupiter",FALSE,"Aviation Maintenance",39,4,NA,3.963
202,"Jupiter",TRUE,"Non-Destructive Testing Tech",55,3.904,NA,3.628
203,"Uranus",FALSE,"International Studies",35,4,NA,3.916
204,"Jupiter",TRUE,"Atmospheric Sciences",29,4,NA,4
205,"Jupiter",TRUE,"Music Recording Technology",37,4,NA,3.799
206,"Jupiter",FALSE,"Music Recording Technology",48,4,NA,3.971
207,"Jupiter",FALSE,"Visual Arts Illustration Spec",42,4,NA,4
208,"Saturn",FALSE,"Energy Management",54,4,NA,3.037
209,"Jupiter",FALSE,"Visual Arts - Multimedia Spec",32,2.063,NA,2.756
210,"Jupiter",FALSE,"Journalism Digital Media",36,4,NA,3.995
211,"Jupiter",FALSE,"Surgical Technician",34,4,NA,3.875
212,"Saturn",TRUE,"Engineering/Electrical",34,4,NA,3.657
213,"Mars",TRUE,"Theatre Arts",30,4,NA,3.754
214,"Saturn",TRUE,"Social Work",30,0,18.6210445627882,0
215,"Mars",TRUE,"Surgical Technician",30,4,NA,3.907
216,"Jupiter",TRUE,"Music Recording Technology",34,3.265,NA,2.838
217,"Jupiter",TRUE,"Atmospheric Sciences",37,4,NA,4
218,"Venus",FALSE,"Comm Health & Leadership",57,4,NA,3.182
219,"Jupiter",FALSE,"Music Recording Technology",34,0,9.68676885491957,0.001
220,"Jupiter",FALSE,"Music Recording Technology",36,4,NA,4
221,"Jupiter",FALSE,"Graphic Communications",38,4,NA,3.646
222,"Jupiter",TRUE,"Surgical Technician",34,4,NA,3.591
223,"Saturn",TRUE,"Theatre Arts",40,4,NA,3.926
224,"Jupiter",FALSE,"Advanced Manufacturing",52,4,NA,4
225,"Jupiter",TRUE,"Exercise Sci/Kinesiology",30,4,NA,3.994
226,"Jupiter",FALSE,"Atmospheric Sciences",29,4,NA,3.673
227,"Jupiter",FALSE,"International Studies",32,3.65,NA,2.304
228,"Uranus",TRUE,"Surgical Technician",24,4,NA,4
229,"Jupiter",TRUE,"Sociology",43,2.807,NA,2.243
230,"Mars",TRUE,"Exercise Sci/Kinesiology",29,3.221,NA,2.993
231,"Jupiter",FALSE,"Physical Therapist Assistant",39,4,NA,3.816
232,"Saturn",TRUE,"Atmospheric Sciences",30,4,NA,3.997
233,"Saturn",TRUE,"Technical Apparel Design",38,4,NA,3.845
234,"Jupiter",FALSE,"International Studies",54,4,NA,3.973
235,"Jupiter",TRUE,"International Studies",37,4,NA,3.916
236,"Jupiter",TRUE,"Surgical Technician",46,4,NA,3.747
237,"Saturn",FALSE,"Metallurgical Engineering",32,4,NA,3.707
238,"Jupiter",FALSE,"Visual Arts Illustration Spec",38,4,228993.152979615,3.943
239,"Jupiter",FALSE,"Atmospheric Sciences",31,4,NA,3.41
240,"Jupiter",FALSE,"Fashion Merchandising",35,4,NA,3.533
241,"Jupiter",TRUE,"Retail Management",43,4,NA,4
242,"Earth",FALSE,"Visual Arts Illustration Spec",24,4,NA,3.934
243,"Saturn",FALSE,"Music Recording Technology",29,4,NA,4
244,"Neptune",FALSE,"Surgical Technician",29,4,NA,3.976
245,"Jupiter",FALSE,"Cabinet Making Furniture Const",44,3.411,12303.9652920659,2.745
246,"Jupiter",TRUE,"International Studies",38,3.806,10350.2521441121,2.487
247,"Jupiter",FALSE,"Electronics Engineering Tech",49,4,NA,3.763
248,"Mars",FALSE,"Visual Arts Illustration Spec",25,0,26.1377481935992,0
249,"Jupiter",TRUE,"American Sign Language",34,4,NA,3.623
250,"Jupiter",TRUE,"Graphic Communications",30,4,NA,3.078
251,"Jupiter",TRUE,"Philosophy Religious Studies",29,3.976,NA,3.74
252,"Saturn",TRUE,"Fashion Merchandising",29,4,NA,3.442
253,"Neptune",FALSE,"Music Recording Technology",25,2.662,NA,2.291
254,"Jupiter",FALSE,"Surgical Technician",25,4,NA,3.358
255,"Jupiter",FALSE,"General Engineering",34,4,NA,3.778
256,"Jupiter",FALSE,"Surgical Technician",32,4,NA,4
257,"Mars",TRUE,"American Sign Language",43,4,NA,3.982
258,"Jupiter",TRUE,"Transition to Teaching/ARL",41,3.325,NA,3.229
259,"Jupiter",FALSE,"Music Recording Technology",24,4,NA,3.032
260,"Jupiter",FALSE,"Respiratory Therapy",31,4,109920.844618369,3.659
261,"Jupiter",TRUE,"Comm Health & Leadership",35,0,10.5103889143989,0.003
262,"Jupiter",FALSE,"International Studies",29,4,NA,3.348
263,"Jupiter",FALSE,"Architectural Technology",24,4,NA,3.597
264,"Jupiter",FALSE,"International Studies",51,4,NA,3.984
265,"Jupiter",TRUE,"Music Recording Technology",36,4,NA,3.817
266,"Jupiter",FALSE,"Comm Health & Leadership",42,4,NA,4
267,"Jupiter",TRUE,"Theatre Arts",28,2.061,377.570889290776,1.694
268,"Jupiter",FALSE,"Music Recording Technology",48,4,NA,4
269,"Jupiter",TRUE,"International Studies",30,4,NA,3.934
270,"Jupiter",TRUE,"American Sign Language",34,0,2.48972823385294,0
271,"Jupiter",TRUE,"Fitness Technician",47,2.936,NA,2.596
272,"Jupiter",TRUE,"Music Recording Technology",58,4,NA,3.968
273,"Jupiter",TRUE,"Surgical Technician",39,4,NA,3.915
274,"Jupiter",FALSE,"Graphic Communications",27,4,NA,3.625
275,"Venus",FALSE,"Comm Health & Leadership",22,4,NA,3.677
276,"Saturn",FALSE,"Visual Arts Illustration Spec",25,2.694,2361.342944435,2.051
277,"Neptune",FALSE,"Visual Arts Illustration Spec",24,0,14.2464497635582,0.03
278,"Saturn",FALSE,"Surgical Technician",28,4,NA,3.695
279,"Neptune",TRUE,"Exercise Sci/Kinesiology",24,0,5.95858252411223,0
280,"Earth",FALSE,"Fitness Technician",31,4,NA,3.962
281,"Jupiter",TRUE,"Atmospheric Sciences",40,0.268,NA,1.106
282,"Saturn",FALSE,"Media Studies & Journalism",22,2.84,2557.65293875735,2.425
283,"Jupiter",TRUE,"Visual Arts Illustration Spec",33,4,NA,3.708
284,"Jupiter",FALSE,"Web Graphic Design",49,4,NA,4
285,"Jupiter",FALSE,"Surgical Technician",35,4,NA,4
286,"Uranus",TRUE,"Social Work",44,4,NA,3.96
287,"Jupiter",TRUE,"Paralegal Training",25,2.317,NA,2.685
288,"Uranus",TRUE,"International Studies",29,4,NA,4
289,"Jupiter",TRUE,"Comm Health & Leadership",42,4,32315.4866912801,3.216
290,"Jupiter",FALSE,"Atmospheric Sciences",32,0,8.75519022915393,0.069
291,"Jupiter",FALSE,"Music Recording Technology",55,0,25.7830397349991,0.031
292,"Saturn",TRUE,"International Studies",23,1.784,9156.05500388311,2.36
293,"Saturn",TRUE,"International Studies",29,0,3.16844091797394,0
294,"Saturn",FALSE,"Comm Health & Leadership",32,2.093,360.580179889142,1.739
295,"Jupiter",TRUE,"International Studies",26,4,933341.788484961,3.853
296,"Neptune",FALSE,"Music Recording Technology",43,0,15.2095645741709,0.024
297,"Jupiter",FALSE,"Music Recording Technology",32,4,87170.9844174845,3.605
298,"Jupiter",FALSE,"Engineering/Chemical",37,4,NA,3.88
299,"Jupiter",TRUE,"Comm Health & Leadership",47,4,NA,3.954
300,"Jupiter",FALSE,"Music Recording Technology",27,0,13.0622955647214,0
301,"Jupiter",FALSE,"Philosophy Religious Studies",35,0,18.833352218835,0
302,"Saturn",FALSE,"Music Recording Technology",24,4,NA,3.28
303,"Jupiter",FALSE,"Music Recording Technology",33,4,NA,3.703
304,"Saturn",FALSE,"International Studies",54,1.425,NA,1.881
305,"Jupiter",FALSE,"Atmospheric Sciences",40,4,89491.2546861099,4
306,"Jupiter",TRUE,"Music Recording Technology",24,0,26.2729815994946,0.039
307,"Jupiter",FALSE,"Construction Management",36,4,NA,3.404
308,"Jupiter",FALSE,"Emergency Medical Tech",39,0,39.4083065512274,0
309,"Saturn",TRUE,"Advanced Manufacturing",35,4,NA,3.425
310,"Jupiter",FALSE,"Music Recording Technology",34,4,NA,3.722
311,"Jupiter",TRUE,"Atmospheric Sciences",41,2.553,11648.1778722639,2.405
312,"Jupiter",TRUE,"Social Work",44,4,601564.764533404,3.598
313,"Jupiter",FALSE,"Music Recording Technology",30,4,NA,3.956
314,"Jupiter",FALSE,"International Studies",24,2.258,799.207955997871,1.485
315,"Jupiter",FALSE,"Sociology",39,4,NA,3.859
316,"Jupiter",FALSE,"Music Recording Technology",35,4,NA,3.754
317,"Saturn",TRUE,"Advanced Manufacturing",25,4,NA,3.194
318,"Saturn",FALSE,"Engineering/Mechanical",26,4,NA,3.216
319,"Neptune",FALSE,"General Engineering",45,4,NA,3.281
320,"Jupiter",TRUE,"Surgical Technician",26,4,NA,3.969
321,"Jupiter",FALSE,"Music Recording Technology",29,3.939,NA,2.994
322,"Jupiter",TRUE,"Comm Health & Leadership",25,3.985,69900.132727807,3.596
323,"Uranus",TRUE,"Philosophy Religious Studies",25,4,NA,3.585
324,"Jupiter",FALSE,"Surgical Technician",53,4,NA,3.641
325,"Neptune",FALSE,"MIDI",44,4,NA,3.823
326,"Uranus",TRUE,"Comm Health & Leadership",53,4,NA,3.785
327,"Venus",TRUE,"Advanced Manufacturing",58,0,9.22353103208921,0
328,"Jupiter",TRUE,"International Studies",33,0,4.97660542000729,0.043
329,"Jupiter",TRUE,"Sociology",37,4,NA,3.719
330,"Mars",TRUE,"Visual Arts Illustration Spec",31,2.241,932.595386569437,1.702
331,"Saturn",TRUE,"International Studies",45,4,NA,2.87
332,"Uranus",FALSE,"Engineering/Electrical",24,3.477,NA,3.965
333,"Jupiter",FALSE,"Visual Arts - Photograph Spec",29,0,14.3746646905615,0
334,"Jupiter",TRUE,"Retail Management",33,2.12,1453.57862478929,1.822
335,"Jupiter",FALSE,"Atmospheric Sciences",32,4,NA,3.917
336,"Jupiter",FALSE,"Advanced Manufacturing",38,4,NA,3.979
337,"Saturn",FALSE,"Pre-Medical Health Sciences",30,4,NA,3.045
338,"Venus",TRUE,"International Studies",35,0.066,20.7559076370376,0.041
339,"Jupiter",FALSE,"Music Recording Technology",27,4,50975.9730337566,3.109
340,"Jupiter",TRUE,"Transition to Teaching/ARL",46,4,NA,3.615
341,"Jupiter",TRUE,"Motorcycle & Outdoor Pow Equip",25,4,NA,4
342,"Jupiter",TRUE,"Comm Health & Leadership",34,0,23.6006498596791,0.038
343,"Jupiter",TRUE,"Transition to Teaching/ARL",37,4,2375.37441979169,2.438
344,"Jupiter",FALSE,"International Studies",33,4,NA,4
345,"Jupiter",FALSE,"Cabinet Making Furniture Const",25,2.556,NA,2.419
346,"Neptune",FALSE,"Sociology",44,4,NA,4
347,"Mars",FALSE,"Transition to Teaching/ARL",36,4,NA,3.216
348,"Jupiter",FALSE,"Retail Management",32,4,NA,3.99
349,"Neptune",TRUE,"Physical Therapist Assistant",44,4,NA,3.879
350,"Neptune",TRUE,"Surgical Technician",24,3.965,NA,3.887
351,"Jupiter",TRUE,"General Studies - Undecided",32,4,NA,3.689
352,"Jupiter",FALSE,"Surgical Technician",31,4,NA,4
353,"Jupiter",TRUE,"Visual Arts Illustration Spec",29,4,NA,3.889
354,"Jupiter",FALSE,"Electronics Engineering Tech",57,4,163952.59929967,3.829
355,"Jupiter",TRUE,"Mathematics",26,3.767,NA,3.708
356,"Jupiter",TRUE,"Sociology",33,0.384,19.3322210022484,0.024
357,"Jupiter",FALSE,"Machining Technology",42,4,NA,4
358,"Jupiter",FALSE,"Surgical Technician",41,4,NA,3.825
359,"Jupiter",FALSE,"Surgical Technician",32,4,NA,3.955
360,"Jupiter",FALSE,"Surgical Technician",32,4,NA,3.979
361,"Saturn",FALSE,"Surgical Technician",45,4,NA,3.535
362,"Jupiter",TRUE,"Music Recording Technology",40,4,NA,3.875
363,"Jupiter",FALSE,"Exercise Sci/Kinesiology",34,4,NA,4
364,"Saturn",TRUE,"Advanced Manufacturing",32,0,25.1979563941393,0.049
365,"Jupiter",TRUE,"Advanced Manufacturing",40,3.935,NA,4
366,"Saturn",FALSE,"Music Recording Technology",24,0.141,922.632157710421,1.102
367,"Saturn",FALSE,"Music Recording Technology",24,4,NA,3.719
368,"Jupiter",FALSE,"Visual Arts Illustration Spec",23,0,NA,0.372
369,"Jupiter",FALSE,"Social Work",45,0,2.16789793546497,0.056
370,"Neptune",TRUE,"Respiratory Therapy",47,4,NA,3.877
371,"Jupiter",FALSE,"Non-Destructive Testing Tech",32,4,NA,3.8
372,"Jupiter",FALSE,"International Studies",48,4,NA,3.736
373,"Jupiter",FALSE,"Music Recording Technology",24,3.043,NA,2.748
374,"Jupiter",FALSE,"Atmospheric Sciences",23,1.8,1936.10590643194,1.94
375,"Uranus",TRUE,"Atmospheric Sciences",27,4,29796.8874976722,2.962
376,"Jupiter",TRUE,"Motorcycle & Outdoor Pow Equip",28,4,NA,3.867
377,"Jupiter",FALSE,"Engineering/Electrical",57,3.107,NA,2.605
378,"Jupiter",FALSE,"Graphic Communications",28,3.154,NA,2.31
379,"Jupiter",FALSE,"Surgical Technician",27,4,NA,3.679
380,"Jupiter",FALSE,"Surgical Technician",24,4,NA,3.874
381,"Jupiter",TRUE,"Surgical Technician",44,3.211,NA,3.535
382,"Jupiter",FALSE,"Visual Arts Illustration Spec",29,4,NA,3.946
